Question,Answer,Video,Timestamp,Difficulty,Topic,Why this question is useful for evaluating retrieval
"According to the video, who will replace developers in the job market — AI or someone else?","According to the video, AI will not replace developers. Instead, the person who knows how to use AI and machine learning tools will replace the developer who works with the classical approach, because they can do the same work much faster.",All About ML & Deep Learning,00:00:00,Easy,AI and Career Impact,Tests exact recall of a counterintuitive claim made at the very start of the video; would fail if retrieval returns a generic AI-jobs article.
मशीन लर्निंग की परिभाषा क्या है और इसका एक उदाहरण दीजिए?,"मशीन लर्निंग डेटा पर एक एल्गोरिदम ट्रेन करने की प्रोसेस है जिससे नए डेटा पॉइंट्स के बारे में प्रेडिक्शन की जा सके। उदाहरण के तौर पर, Precipitation, Humidity और Temperature के पुराने डेटा से यह predict करना कि आज बारिश होगी या नहीं।",All About ML & Deep Learning,00:01:05,Easy,Machine Learning Definition,Tests direct definition lookup combined with a specific example; would fail if retrieval returns a different ML video without the weather prediction example.
Reinforcement Learning में agent किस आधार पर सीखता है और उसका लक्ष्य क्या होता है?,"Reinforcement Learning में एक agent trial-and-error के आधार पर सीखता है। उसे या तो rewards मिलते हैं या penalties, और वो अपने rewards को maximize करने की कोशिश करता है — वो खुद ही यह जान लेता है कि कौन सा काम करने से reward maximize होगा।",All About ML & Deep Learning,00:08:10,Medium,Reinforcement Learning,Tests conceptual understanding of a specific ML type; disambiguation needed between the three ML types covered in the same video.
ML मॉडल ट्रेनिंग की step-by-step प्रोसेस क्या है?,"ML मॉडल ट्रेनिंग की प्रोसेस है: (1) Data Collection, (2) Data Preprocessing — डेटा को clean करके ML algorithm के लिए उपयुक्त format में लाना, (3) Model Selection, (4) Training, (5) Testing & Evaluation — accuracy निकालना, (6) Predictions, (7) Production में deploy करना, और (8) Model को update करते रहना। यह प्रोसेस iteratively चलती रहती है।",All About ML & Deep Learning,00:09:10,Medium,ML Model Training Process,Tests retrieval of a multi-step ordered process; requires the exact source passage listing all steps sequentially.
Transformers ने LSTM की किस limitation को overcome किया?,"LSTM (Long Short-Term Memory) को longer sequences और vanishing gradient problem को solve करने के लिए बनाया गया था, लेकिन Transformers ने NLP डेटा पर training को और भी आसान बना दिया और LSTM की limitations को overcome करते हुए ChatGPT जैसे मॉडल्स को संभव बनाया।",All About ML & Deep Learning,00:12:21,Hard,Deep Learning Architectures,Tests synthesis across two architectures mentioned in the same passage; would fail if retrieval returns the 3Blue1Brown Transformers video instead.
"In the 3Blue1Brown neural network video, what does a neuron hold and what is that value called?","A neuron holds a single number between 0 and 1, and that number is called its activation.",But what is a Neural Network?,00:02:52,Easy,Neuron and Activation,Tests exact terminology lookup of a foundational definition; would fail if retrieval returns a different neural network video with different terminology.
"How many total weights and biases does the neural network described in the 3Blue1Brown video have, and how is this number derived?","The network has almost exactly 13,000 total weights and biases. This comes from 784 input neurons × 16 neurons in the first hidden layer (plus 16 biases), plus connections between the hidden layers, plus connections from the second hidden layer to the 10 output neurons — all weights and biases across all layers sum to approximately 13,000.",But what is a Neural Network?,00:11:52,Medium,Network Parameters,"Tests retrieval of a specific numeric fact embedded in a longer explanation; requires the exact passage where the 13,000 figure is stated and justified."
"What is the role of the bias in a neural network, according to the 3Blue1Brown video?","The bias is an additional number added to a neuron's weighted sum before applying the activation function. It controls the threshold at which the neuron becomes meaningfully active — for example, if you want the neuron to only activate when the weighted sum is bigger than 10, you add a bias of negative 10 to shift that threshold.",But what is a Neural Network?,00:10:49,Medium,Bias in Neural Networks,Tests conceptual understanding of bias vs. weights; disambiguation needed since both concepts are defined close together in the transcript.
"Why did modern deep networks move away from the sigmoid activation function toward ReLU, and how is ReLU defined?","Sigmoid was difficult to train in deep networks. People tried ReLU (Rectified Linear Unit) and it happened to work much better for deep neural networks. ReLU is defined as the maximum of 0 and the input value — if the input passes a certain threshold it acts as the identity function, otherwise it outputs zero.",But what is a Neural Network?,00:17:04,Hard,Activation Functions,Tests retrieval of a specific expert discussion at the end of the video; would fail if retrieval returns only the main body about sigmoid without the closing interview segment.
Deep Learning में 'Deep' शब्द किससे आता है?,"Deep Learning में 'Deep' शब्द hidden layers की संख्या से आता है। Neural Network में input layer और output layer के बीच जितनी ज्यादा hidden layers होती हैं, network उतना ही 'deeper' होता है।",What is Deep Learning?,00:06:04,Easy,Deep Learning Definition,Tests exact terminology lookup; would fail if retrieval returns a generic definition without the specific hidden-layers explanation.
Machine Learning और Deep Learning में data dependency के संदर्भ में क्या अंतर है?,"Deep Learning data-hungry है — इसे बहुत ज्यादा डेटा चाहिए और जैसे-जैसे डेटा बढ़ता है इसकी performance लगभग linearly बढ़ती रहती है। Machine Learning कम डेटा पर भी काम कर सकता है, लेकिन एक point के बाद और ज्यादा डेटा देने पर भी ML model का performance stagnate हो जाता है।",What is Deep Learning?,00:22:07,Medium,ML vs Deep Learning: Data,Tests conceptual comparison between two approaches; requires the specific graph description passage rather than a generic comparison.
Representation Learning (Feature Learning) क्या है और यह Deep Learning को Machine Learning से कैसे अलग बनाता है?,"Representation Learning वह क्षमता है जिसमें Deep Learning algorithm automatically data के अंदर से relevant features extract कर लेता है, बिना manual feature engineering के। Machine Learning में features manually बनाने पड़ते हैं (जैसे dog vs cat classification में size, color आदि), जबकि Deep Learning में algorithm खुद-ब-खुद images से features extract करता है।",What is Deep Learning?,00:14:23,Medium,Representation Learning,Tests retrieval of a key differentiating concept with a concrete example; would fail if retrieval returns a passage about hardware differences instead.
Deep Learning को 'Black Box' क्यों कहा जाता है और इसकी interpretability की कमी का एक व्यावहारिक उदाहरण क्या है?,"Deep Learning मॉडल को Black Box कहा जाता है क्योंकि features automatically extract होते हैं और यह नहीं बताया जा सकता कि उसने कोई निर्णय क्यों लिया। व्यावहारिक उदाहरण: एक social media platform पर Deep Learning model किसी user को ban तो कर सकता है, लेकिन यह नहीं बता सकता कि क्यों — जबकि Logistic Regression जैसे ML model में weights (जैसे W1 = CGPA) के आधार पर कारण बताया जा सकता है।",What is Deep Learning?,00:28:50,Hard,Interpretability,Tests synthesis of a concept (black box) with a specific real-world example; would fail if retrieval returns only the definition without the social media ban example.
2010 के बाद Deep Learning के इतना famous होने के पीछे कौन से पाँच कारण बताए गए हैं?,"2010 के बाद Deep Learning के famous होने के पाँच कारण हैं: (1) Data — smartphone revolution और सस्ते internet (Jio) से exponential data generation और public datasets की उपलब्धता; (2) Hardware — GPU, FPGA, ASIC, TPU जैसे specialized hardware; (3) Frameworks — TensorFlow (Google, 2015) और PyTorch (Facebook, 2016) जैसी libraries; (4) Neural Network Architectures — state-of-the-art architectures और Transfer Learning; (5) Community — researchers, engineers और students का योगदान।",What is Deep Learning?,00:34:56,Hard,Deep Learning Success Factors,Tests multi-point synthesis from a long passage; requires retrieving the specific enumeration section rather than any individual factor mentioned elsewhere.
"What does GPT stand for, and what is the core invention underlying the current AI boom according to the 3Blue1Brown Transformers video?","GPT stands for Generative Pretrained Transformer. The core invention underlying the current AI boom is the transformer, a specific kind of neural network (machine learning model) originally introduced by Google in 2017 for language translation.","Transformers, the tech behind LLMs",00:00:00,Easy,Transformer Introduction,Tests exact acronym and attribution lookup; would fail if retrieval returns the neural network basics video instead of the transformers video.
How does a transformer convert a text-prediction model into a chatbot?,"To turn a text-prediction model into a chatbot, you prepend a short system prompt that establishes the setting of a user interacting with a helpful AI assistant, then use the user's question as the first bit of dialogue, and have the model predict what a helpful AI assistant would say in response. There is also an added step of training required to make this work well.","Transformers, the tech behind LLMs",00:05:54,Medium,Chatbot Architecture,Tests retrieval of a specific procedural explanation; would fail if retrieval returns only the high-level data flow description.
What is the softmax function and how does temperature affect it in text generation?,"Softmax converts an arbitrary list of numbers into a valid probability distribution by raising e to the power of each number, summing those values, and dividing each term by the sum, so all values are between 0 and 1 and sum to 1. Temperature (T) is a constant added to the denominator of the exponents: a higher T makes the distribution more uniform (giving more weight to lower-probability tokens), while a lower T makes the highest-probability token dominate more aggressively.","Transformers, the tech behind LLMs",00:23:30,Medium,Softmax and Temperature,"Tests retrieval of a two-part technical explanation; requires the specific passage combining both softmax mechanics and temperature, not just one of them."
"In GPT-3, how many parameters does the embedding matrix contribute, and what are its dimensions?","The embedding matrix (W_E) in GPT-3 has a vocabulary size of 50,257 tokens and an embedding dimension of 12,288. Multiplying these gives approximately 617 million weights contributed by the embedding matrix alone.","Transformers, the tech behind LLMs",00:17:37,Medium,GPT-3 Architecture Parameters,Tests retrieval of specific numeric facts about a named model; would fail if retrieval returns the CampusX or CodeWithHarry video which do not contain these exact GPT-3 figures.
"What semantic arithmetic example involving Germany, Japan, and sushi is described in the Transformers video, and what does it illustrate?","In the Transformers video, if you take the vector difference between Germany and Japan and add it to the embedding of 'sushi', you end up very close to the embedding of 'bratwurst'. This illustrates that directions in the word embedding space encode cross-cultural semantic relationships, showing that the model associates certain directions with nationality and associated cultural items.","Transformers, the tech behind LLMs",00:15:57,Hard,Word Embedding Semantics,Tests retrieval of a specific quirky example buried among several similar examples; would fail if retrieval returns the king/queen or woman/man example instead.
"During training of a transformer, why is it more efficient to use every vector in the final layer rather than only the last one?","During training, it is much more efficient to use each vector in the final layer to simultaneously make a prediction for what token comes immediately after it in the sequence, rather than only using the last vector. This means every position in the context contributes a training signal at once, making the training process more data-efficient.","Transformers, the tech behind LLMs",00:21:41,Hard,Transformer Training Efficiency,"Tests retrieval of a subtle training detail that is easy to overlook; requires the specific passage explaining the simultaneous prediction rationale, not the general training description."
